index_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9
0,-0.0347244068980217,-0.04570161923766136,-0.00045138265704736114,0.004225437995046377,0.014314382337033749,-0.017234506085515022,0.027877798303961754,0.06642980873584747,-0.11732342839241028,0.0492854081094265
1,-0.09311265498399734,-0.022519778460264206,0.05541415140032768,0.04525812342762947,0.03826599195599556,-0.022418590262532234,-0.034553661942481995,0.03772899508476257,-0.008057592436671257,0.03860193490982056
2,-0.03600144013762474,-0.03218604624271393,-0.050305552780628204,0.019390076398849487,0.045031167566776276,0.055048827081918716,0.011166459880769253,-0.0012272531166672707,0.004584308248013258,0.08341647684574127
3,0.011739430949091911,0.0003058540169149637,-0.04208065941929817,-0.006473115645349026,0.020381826907396317,0.030103305354714394,-0.01512734591960907,0.0008223893237300217,0.0022574143949896097,0.021394498646259308
4,-0.06515830755233765,-0.06701582670211792,-0.027845825999975204,0.002384865190833807,0.004541497677564621,0.042904190719127655,0.012737313285470009,-0.029983969405293465,0.011210561729967594,-0.018780553713440895
5,-0.04539608955383301,0.00023553729988634586,0.011661815457046032,-0.05620090663433075,0.010742123238742352,-0.009216099046170712,0.026365049183368683,0.05326598510146141,-0.017411133274435997,-0.007346063386648893
6,-0.058741211891174316,-0.04459952935576439,-0.09044182300567627,0.005328804720193148,-0.0019521365175023675,-0.012958834879100323,-0.0075170425698161125,0.026407400146126747,-0.012655366212129593,-0.003269225126132369
7,-0.034208230674266815,-0.03737318888306618,-0.016933772712945938,0.011042908765375614,0.0254736989736557,-0.03302241489291191,-0.014116896316409111,-0.029478590935468674,0.009347667917609215,0.09859102219343185
8,-0.07491043955087662,-0.03586915507912636,0.03127051889896393,0.07034119963645935,0.06230366975069046,-0.04213505610823631,-0.025129185989499092,0.004261902999132872,0.020510012283921242,0.039882414042949677
9,-0.05889469012618065,-0.05462120845913887,-0.002863075351342559,-0.01673884131014347,0.07376474142074585,0.013711122795939445,0.002582632238045335,-0.014235361479222775,0.048794087022542953,-0.037320129573345184
10,-0.07266665250062943,-0.021056346595287323,-0.0005042384727858007,0.027780385687947273,0.0640704557299614,-0.03138124942779541,-0.018004557117819786,-0.019912566989660263,-0.016421204432845116,0.04291902482509613
